# code,annotations_organism,cog_taxid,no rank,superkingdom,phylum,class,order,family,genus,species,taxid,clade,strain,subspecies,species group,subphylum,suborder,subclass,isolate,subfamily,forma specialis,serotype,serogroup,tribe
Ilytar,Ilyobacter tartaricus,167644,cellular organisms,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Ilyobacter,Ilyobacter tartaricus,167644,,,,,,,,,,,,,
Clopar,Clostridium paradoxum JW-YL-7 = DSM 7308,1121328,Peptostreptococcaceae incertae sedis,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,,[Clostridium] paradoxum,1121328,Terrabacteria group,[Clostridium] paradoxum JW-YL-7 = DSM 7308,,,,,,,,,,,
Promod,Propionigenium modestum,2333,cellular organisms,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Propionigenium,Propionigenium modestum,2333,,,,,,,,,,,,,
Acamar,Acaryochloris marina MBIC11017,329726,cellular organisms,Bacteria,Cyanobacteria,,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris marina,329726,Cyanobacteria/Melainabacteria group,Acaryochloris marina MBIC11017,,,,,,,,,,,
Accpho,Candidatus Accumulibacter phosphatis clade IIA str. UW-1,522306,Betaproteobacteria incertae sedis,Bacteria,Proteobacteria,Betaproteobacteria,,,Candidatus Accumulibacter,Candidatus Accumulibacter phosphatis,522306,,Candidatus Accumulibacter phosphatis clade IIA str. UW-1,,,,,,,,,,,
Aceara,Acetohalobium arabaticum DSM 5501,574087,cellular organisms,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,Acetohalobium arabaticum,574087,Terrabacteria group,Acetohalobium arabaticum DSM 5501,,,,,,,,,,,
Acepas,Acetobacter pasteurianus IFO 3283-01,634452,Acetobacter pasteurianus IFO 3283-01,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,634452,,,Acetobacter pasteurianus subsp. Pasteurianus,,,,,,,,,,
Acewoo,Acetobacterium woodii DSM 1030,931626,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium woodii,931626,Terrabacteria group,Acetobacterium woodii DSM 1030,,,,,,,,,,,
Achlai,Acholeplasma laidlawii PG-8A,441768,cellular organisms,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma laidlawii,441768,Terrabacteria group,Acholeplasma laidlawii PG-8A,,,,,,,,,,,
Achxyl,Achromobacter xylosoxidans A8,762376,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,762376,,Achromobacter xylosoxidans A8,,,,,,,,,,,
Aciave,Acidovorax avenae subsp. avenae ATCC 19860,643561,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax avenae,643561,,Acidovorax avenae subsp. avenae ATCC 19860,Acidovorax avenae subsp. avenae,,,,,,,,,,
Acibau,Acinetobacter baumannii ATCC 17978,400667,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,400667,,Acinetobacter baumannii ATCC 17978,,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,
Aciboo,Aciduliprofundum boonei T469,439481,cellular organisms,Archaea,Candidatus Thermoplasmatota,,,,Aciduliprofundum,Aciduliprofundum boonei,439481,DHVE2 group,Aciduliprofundum boonei T469,,,,,,,,,,,
Acicel,Acidothermus cellulolyticus 11B,351607,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus cellulolyticus,351607,Terrabacteria group,Acidothermus cellulolyticus 11B,,,,,,,,,,,
Acif01,Acidithiobacillus ferrooxidans ATCC 23270,243159,cellular organisms,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrooxidans,243159,,Acidithiobacillus ferrooxidans ATCC 23270,,,,,,,,,,,
Acifer,Acidimicrobium ferrooxidans DSM 10331,525909,cellular organisms,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,Acidimicrobium ferrooxidans,525909,Terrabacteria group,Acidimicrobium ferrooxidans DSM 10331,,,,,,,,,,,
Acihos,Acidianus hospitalis W1,933801,cellular organisms,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus hospitalis,933801,TACK group,Acidianus hospitalis W1,,,,,,,,,,,
Aciint,Acidaminococcus intestini RyC-MR95,568816,cellular organisms,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,568816,Terrabacteria group,Acidaminococcus intestini RyC-MR95,,,,,,,,,,,
Acimp5,Granulicella tundricola MP5ACTX9,1198114,cellular organisms,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella tundricola,1198114,,Granulicella tundricola MP5ACTX9,,,,,,,,,,,
